ride_id,date,hour,pickup_area,distance_km,fare,passengers,rating
1,2025-03-23,9,Downtown,7.81,13.62,2,5.0
2,2025-01-18,12,Hillcrest,7.33,11.68,1,5.0
3,2025-01-04,12,Uptown,12.34,17.84,1,4.0
4,2025-03-13,9,Hillcrest,6.18,9.84,1,5.0
5,2025-02-05,8,Riverside,2.07,3.0,2,5.0
6,2025-01-20,6,Old Town,3.44,7.44,1,5.0
7,2025-02-15,15,Market District,1.44,6.57,1,5.0
8,2025-02-28,7,Tech Park,8.84,11.85,1,5.0
9,2025-03-22,16,Market District,9.05,12.54,1,5.0
10,2025-03-26,9,Greenfield,5.5,9.21,4,3.0
11,2025-01-13,16,Greenfield,17.76,25.57,1,3.0
12,2025-01-21,14,Old Town,12.61,17.06,1,5.0
13,2025-03-29,8,Market District,2.3,3.5,2,5.0
14,2025-02-01,8,Lakeside,12.19,18.6,1,1.0
15,2025-03-23,7,Old Town,6.99,9.37,2,4.0
16,2025-01-30,5,Old Town,6.2,12.15,1,5.0
17,2025-03-14,19,Uptown,1.32,4.7,2,5.0
18,2025-03-24,16,Riverside,5.12,10.07,1,5.0
19,2025-03-13,21,Market District,13.16,18.35,1,4.0
20,2025-02-16,7,Riverside,10.16,17.17,1,5.0
21,2025-01-07,6,Riverside,7.57,10.68,2,4.0
22,2025-02-24,4,Tech Park,12.56,20.86,1,1.0
23,2025-03-09,17,Hillcrest,13.52,20.62,3,5.0
24,2025-01-15,16,Old Town,10.31,18.21,1,5.0
25,2025-02-28,7,Greenfield,16.32,19.79,4,4.0
26,2025-03-06,10,Greenfield,8.94,13.67,2,5.0
27,2025-01-26,8,Old Town,2.44,5.34,2,5.0
28,2025-03-09,9,Market District,15.89,22.38,1,5.0
29,2025-02-16,15,Uptown,5.99,11.66,1,3.0
30,2025-01-11,8,Lakeside,5.85,10.87,2,1.0
31,2025-03-10,8,Riverside,13.34,18.79,2,2.0
32,2025-01-22,17,Hillcrest,6.54,8.81,3,5.0
33,2025-01-28,8,Greenfield,9.81,,1,4.0
34,2025-02-17,17,Hillcrest,1.42,3.72,1,5.0
35,2025-01-09,16,Downtown,4.49,8.1,1,5.0
36,2025-01-29,9,Airport,17.93,26.07,2,5.0
37,2025-01-09,8,Old Town,8.13,10.19,1,5.0
38,2025-03-27,17,Uptown,8.8,17.63,1,4.0
39,2025-03-15,17,Uptown,10.01,15.46,2,3.0
40,2025-01-25,4,Airport,14.21,22.1,2,
41,2025-02-22,20,Downtown,3.95,9.74,2,1.0
42,2025-01-13,3,Tech Park,11.43,20.64,2,3.0
43,2025-01-14,5,Uptown,5.67,10.02,1,5.0
44,2025-02-24,6,Greenfield,0.75,3.58,1,3.0
45,2025-01-10,14,Hillcrest,10.87,15.25,1,4.0
46,2025-03-11,12,Airport,4.58,7.97,3,3.0
47,2025-01-22,20,Lakeside,2.35,5.9,1,3.0
48,2025-01-08,11,Tech Park,0.54,3.48,1,5.0
49,2025-02-28,18,Tech Park,12.41,16.78,2,4.0
50,2025-03-13,14,Riverside,11.11,17.39,1,5.0
51,2025-01-08,8,Old Town,10.23,14.78,1,4.0
52,2025-03-06,8,Downtown,9.97,14.39,4,5.0
53,2025-01-24,13,Market District,10.87,14.84,1,3.0
54,2025-02-21,9,Market District,3.63,8.4,1,4.0
55,2025-03-21,11,Tech Park,4.4,9.67,2,4.0
56,2025-02-10,19,Uptown,12.61,21.74,2,5.0
57,2025-02-03,17,Riverside,4.73,7.31,2,5.0
58,2025-02-10,5,Downtown,8.11,13.55,1,1.0
59,2025-01-13,8,Hillcrest,12.64,18.95,1,5.0
60,2025-02-14,12,Uptown,7.18,15.91,1,5.0
61,2025-03-11,19,Market District,4.21,6.37,4,3.0
62,2025-03-09,9,Hillcrest,7.38,13.17,1,4.0
63,2025-01-18,19,Airport,8.14,11.81,3,4.0
64,2025-01-20,13,Greenfield,6.27,11.94,2,4.0
65,2025-01-27,18,Hillcrest,2.27,5.71,1,3.0
66,2025-01-07,9,Tech Park,4.08,8.03,2,5.0
67,2025-02-12,8,Greenfield,2.79,6.66,1,5.0
68,2025-02-24,9,Airport,13.92,22.18,1,3.0
69,2025-01-20,3,Old Town,3.81,8.23,1,5.0
70,2025-01-17,9,Greenfield,11.08,22.68,1,2.0
71,2025-01-06,19,Uptown,14.18,22.37,2,4.0
72,2025-02-15,19,Market District,6.92,12.63,2,2.0
73,2025-01-31,5,Riverside,7.32,11.29,3,5.0
74,2025-02-12,18,Uptown,20.07,25.79,1,4.0
75,2025-01-14,20,Downtown,0.56,3.0,3,5.0
76,2025-02-28,21,Greenfield,8.82,12.35,2,3.0
77,2025-01-29,5,Uptown,11.9,16.87,1,5.0
78,2025-01-09,18,Old Town,8.73,12.87,2,5.0
79,2025-03-10,23,Downtown,11.67,14.63,1,1.0
80,2025-01-23,18,Downtown,5.19,10.53,1,5.0
81,2025-02-10,15,Market District,7.93,13.57,4,5.0
82,2025-03-15,10,Greenfield,2.5,5.25,1,5.0
83,2025-03-08,6,Old Town,5.23,11.95,1,2.0
84,2025-02-12,19,Airport,2.2,6.74,2,5.0
85,2025-02-09,23,Old Town,13.66,17.98,1,5.0
86,2025-01-17,6,Tech Park,14.83,20.72,2,
87,2025-01-23,19,Tech Park,12.37,17.19,1,5.0
88,2025-02-06,7,Tech Park,8.71,12.29,2,4.0
89,2025-02-11,17,Lakeside,2.26,7.89,1,5.0
90,2025-03-02,3,Airport,6.3,10.89,1,4.0
91,2025-03-21,22,Airport,1.32,5.96,2,4.0
92,2025-03-28,18,Uptown,3.59,7.86,2,5.0
93,2025-01-06,8,Lakeside,5.5,9.75,2,4.0
94,2025-02-28,16,Market District,9.07,15.28,1,4.0
95,2025-03-05,22,Uptown,2.31,8.7,1,4.0
96,2025-01-14,12,Uptown,7.74,13.44,1,2.0
97,2025-03-08,18,Downtown,5.39,9.19,1,3.0
98,2025-01-16,16,Riverside,5.55,10.99,2,4.0
99,2025-03-13,19,Lakeside,5.04,10.4,2,4.0
100,2025-03-06,18,Hillcrest,12.56,19.77,1,5.0
101,2025-03-02,15,Greenfield,5.7,11.03,2,3.0
102,2025-02-05,19,Uptown,8.4,13.6,1,5.0
103,2025-02-06,11,Greenfield,5.54,10.52,1,3.0
104,2025-01-11,7,Riverside,7.41,13.78,1,4.0
105,2025-01-28,10,Tech Park,12.57,20.8,1,5.0
106,2025-02-23,8,Uptown,11.91,17.52,2,5.0
107,2025-03-16,8,Market District,7.85,12.85,1,5.0
108,2025-02-15,19,Tech Park,4.41,11.37,3,2.0
109,2025-02-23,4,Lakeside,2.43,7.4,1,5.0
110,2025-01-04,20,Old Town,11.62,18.55,2,4.0
111,2025-01-22,17,Riverside,4.01,7.83,4,5.0
112,2025-02-20,5,Airport,13.38,19.67,2,5.0
113,2025-03-01,5,Downtown,6.89,12.08,1,5.0
114,2025-02-28,16,Old Town,4.39,8.57,2,5.0
115,2025-02-23,18,Airport,5.97,9.55,1,4.0
116,2025-01-07,18,Uptown,1.26,3.0,2,4.0
117,2025-03-25,5,Downtown,7.43,12.63,3,5.0
118,2025-01-03,12,Uptown,12.79,18.89,1,4.0
119,2025-03-14,7,Lakeside,3.49,7.01,2,4.0
120,2025-01-22,7,Riverside,10.11,14.4,4,5.0
121,2025-01-04,19,Market District,16.16,23.34,2,2.0
122,2025-02-20,9,Airport,11.95,17.43,1,3.0
123,2025-02-01,8,Greenfield,8.56,13.77,3,4.0
124,2025-01-16,5,Old Town,8.62,14.45,1,4.0
125,2025-01-09,22,Downtown,13.3,23.02,2,3.0
126,2025-01-14,15,Old Town,12.86,19.49,2,3.0
127,2025-01-20,23,Riverside,4.46,7.04,2,2.0
128,2025-02-04,16,Lakeside,3.12,5.77,1,4.0
129,2025-02-04,15,Uptown,9.25,15.04,2,
130,2025-02-27,13,Lakeside,13.25,18.86,1,4.0
131,2025-02-13,5,Lakeside,10.96,14.77,3,5.0
132,2025-01-28,23,Greenfield,14.4,20.52,1,3.0
133,2025-03-31,12,Hillcrest,15.27,22.18,1,2.0
134,2025-01-11,11,Tech Park,0.53,3.0,1,4.0
135,2025-03-30,18,Lakeside,8.73,13.17,1,5.0
136,2025-02-07,9,Tech Park,3.16,6.39,2,5.0
137,2025-03-16,18,Lakeside,11.07,17.96,1,5.0
138,2025-03-12,14,Old Town,0.83,5.5,2,5.0
139,2025-02-02,8,Airport,4.76,11.01,2,5.0
140,2025-03-10,8,Uptown,14.4,21.32,1,5.0
141,2025-03-17,23,Airport,17.28,24.59,2,5.0
142,2025-02-16,10,Greenfield,11.73,19.8,1,
143,2025-02-05,5,Downtown,11.93,19.6,1,4.0
144,2025-01-17,12,Airport,2.58,3.0,3,4.0
145,2025-03-02,17,Lakeside,12.09,20.47,1,2.0
146,2025-02-02,18,Airport,16.64,22.06,2,5.0
147,2025-01-10,2,Riverside,8.22,13.76,1,4.0
148,2025-02-08,7,Uptown,2.84,6.06,1,4.0
